timestamp,ticker,side,contracts,entry,fill,exit,profit,stopped
01:15:56,KXBTC15M-26MAR152115-15,no,6,83,84,,0.9600000000000004,False
01:45:41,KXBTC15M-26MAR152145-45,no,7,70,71,,1.96,False
02:13:18,KXBTC15M-26MAR152215-15,yes,6,82,83,22,-3.66,True
02:42:18,KXBTC15M-26MAR152245-45,no,7,67,68,37,-2.17,True
03:14:19,KXBTC15M-26MAR152315-15,yes,6,80,81,37,-2.64,True
04:01:05,KXBTC15M-26MAR160000-00,no,7,65,66,,2.3099999999999996,False
04:15:50,KXBTC15M-26MAR160015-15,yes,8,61,62,,2.96,False
04:26:50,KXBTC15M-26MAR160030-30,yes,6,85,86,35,-3.06,True
04:45:40,KXBTC15M-26MAR160045-45,yes,8,65,66,,2.6399999999999997,False
05:15:56,KXBTC15M-26MAR160115-15,yes,8,63,64,,2.8,False
05:27:40,KXBTC15M-26MAR160130-30,yes,7,71,72,37,-2.4499999999999997,True
05:45:36,KXBTC15M-26MAR160145-45,yes,8,67,68,,2.48,False
05:55:38,KXBTC15M-26MAR160200-00,no,9,62,63,34,-2.61,True
06:45:55,KXBTC15M-26MAR160245-45,yes,6,84,85,,0.8999999999999999,False
07:03:01,KXBTC15M-26MAR160300-00,no,8,68,69,,-5.44,False
08:00:35,KXBTC15M-26MAR160400-00,no,6,83,84,,0.9600000000000002,False
08:30:30,KXBTC15M-26MAR160430-30,no,8,69,70,,2.3200000000000003,False
08:57:20,KXBTC15M-26MAR160500-00,yes,9,61,62,40,-1.98,True
09:15:35,KXBTC15M-26MAR160515-15,yes,8,69,70,,2.3200000000000003,False
09:30:35,KXBTC15M-26MAR160530-30,yes,10,60,61,,3.8,False
09:45:30,KXBTC15M-26MAR160545-45,no,8,74,75,,1.92,False
10:31:00,KXBTC15M-26MAR160630-30,yes,7,85,86,,0.9800000000000004,False
11:16:01,KXBTC15M-26MAR160715-15,no,7,83,84,,1.12,False
11:26:30,KXBTC15M-26MAR160730-30,no,10,64,65,21,-4.4,True
11:46:00,KXBTC15M-26MAR160745-45,yes,8,73,74,,2.0,False
12:00:45,KXBTC15M-26MAR160800-00,no,7,84,85,,1.0500000000000007,False
12:11:21,KXBTC15M-26MAR160815-15,yes,11,60,61,26,-3.8499999999999996,True
12:30:51,KXBTC15M-26MAR160830-30,yes,8,76,77,,1.7599999999999998,False
12:45:35,KXBTC15M-26MAR160845-45,no,10,62,63,,3.5999999999999996,False
12:57:00,KXBTC15M-26MAR160900-00,no,10,68,69,39,-3.0,True
13:15:31,KXBTC15M-26MAR160915-15,yes,10,63,64,,3.5,False
13:30:50,KXBTC15M-26MAR160930-30,no,11,62,63,,3.960000000000001,False
14:00:40,KXBTC15M-26MAR161000-00,no,9,80,81,,1.6199999999999992,False
15:15:51,KXBTC15M-26MAR161115-15,yes,10,70,71,,2.799999999999999,False
15:30:51,KXBTC15M-26MAR161130-30,yes,8,84,85,,1.1999999999999993,False
16:15:50,KXBTC15M-26MAR161215-15,yes,10,75,76,,2.3000000000000007,False
16:45:26,KXBTC15M-26MAR161245-45,yes,10,71,72,,2.6999999999999993,False
17:10:57,KXBTC15M-26MAR161315-15,no,10,72,73,27,-4.600000000000001,True
17:30:56,KXBTC15M-26MAR161330-30,no,10,75,76,,2.3000000000000007,False
18:00:41,KXBTC15M-26MAR161400-00,yes,12,63,64,,4.199999999999999,False
18:26:07,KXBTC15M-26MAR161430-30,no,12,67,68,39,-3.4800000000000004,True
18:43:08,KXBTC15M-26MAR161445-45,no,9,84,85,33,-4.68,True
19:30:56,KXBTC15M-26MAR161530-30,no,11,73,74,,2.75,False
19:45:31,KXBTC15M-26MAR161545-45,yes,12,68,69,,3.599999999999998,False
